timestamp,open,high,low,close,volume
2024-11-01 21:00:00,69250.0,69361.6,68839.7,69272.9,5040.517
2024-11-01 22:00:00,69272.9,69459.5,69238.2,69439.2,1848.334
2024-11-01 23:00:00,69439.2,69631.4,69363.0,69495.5,1686.521
2024-11-02 00:00:00,69495.5,69683.4,69476.4,69665.4,1491.279
2024-11-02 01:00:00,69665.4,69710.0,69509.3,69660.1,980.602
2024-11-02 02:00:00,69660.1,69919.0,69650.0,69660.5,1795.201
2024-11-02 03:00:00,69660.5,69791.5,69560.0,69597.4,1182.863
2024-11-02 04:00:00,69597.4,69628.6,69457.4,69565.2,1303.588
2024-11-02 05:00:00,69565.2,69734.2,69435.5,69715.4,1467.74
2024-11-02 06:00:00,69715.4,69760.7,69578.3,69755.6,942.016
2024-11-02 07:00:00,69755.6,69818.1,69673.1,69809.1,1608.204
2024-11-02 08:00:00,69809.1,69844.0,69561.1,69622.6,1369.678
2024-11-02 09:00:00,69622.6,69650.0,69485.7,69546.3,1709.877
2024-11-02 10:00:00,69546.3,69611.9,69387.5,69606.0,1952.136
2024-11-02 11:00:00,69606.0,69694.0,69559.0,69597.5,1100.931
2024-11-02 12:00:00,69597.5,69671.2,69370.7,69440.6,2783.9
2024-11-02 13:00:00,69440.6,69687.0,69350.0,69353.6,2787.991
2024-11-02 14:00:00,69353.6,69436.0,68981.6,69250.1,7219.34
2024-11-02 15:00:00,69250.1,69433.4,69114.5,69381.7,2321.963
2024-11-02 16:00:00,69381.7,69604.4,69306.0,69566.1,2257.852
2024-11-02 17:00:00,69566.1,69587.5,69320.0,69392.4,1379.315
2024-11-02 18:00:00,69392.4,69473.8,69209.6,69411.9,1437.762
2024-11-02 19:00:00,69411.9,69550.3,69368.2,69497.4,863.331
2024-11-02 20:00:00,69497.4,69568.7,69451.1,69541.2,724.348
2024-11-02 21:00:00,69541.2,69562.8,69426.0,69426.1,1080.265
2024-11-02 22:00:00,69426.1,69545.4,69338.2,69419.0,925.411
2024-11-02 23:00:00,69419.0,69441.0,69136.3,69363.6,2862.114
2024-11-03 00:00:00,69363.6,69382.9,69150.0,69150.0,1503.893
2024-11-03 01:00:00,69150.0,69212.3,68982.4,68996.8,2914.144
2024-11-03 02:00:00,68996.8,69010.2,67820.0,68202.2,19443.668
2024-11-03 03:00:00,68202.2,68468.8,68000.5,68360.9,4914.666
2024-11-03 04:00:00,68360.9,68697.9,68285.6,68580.1,3055.919
2024-11-03 05:00:00,68580.1,68689.9,68420.0,68431.8,2885.411
2024-11-03 06:00:00,68431.8,68766.0,68380.0,68572.9,1763.651
2024-11-03 07:00:00,68572.9,68700.0,68350.0,68395.0,1837.074
2024-11-03 08:00:00,68395.0,68600.0,68280.2,68470.0,2998.265
2024-11-03 09:00:00,68470.0,68517.3,68181.4,68232.0,2620.313
2024-11-03 10:00:00,68232.0,68562.5,68232.0,68430.9,2359.034
2024-11-03 11:00:00,68430.9,68580.0,68309.3,68344.8,1888.106
2024-11-03 12:00:00,68344.8,68565.5,68276.5,68479.3,1854.109
2024-11-03 13:00:00,68479.3,68502.7,67937.6,68041.0,5739.369
2024-11-03 14:00:00,68041.0,68190.8,67537.1,67770.0,13956.496
2024-11-03 15:00:00,67770.0,68202.9,67456.1,68073.3,10967.441
2024-11-03 16:00:00,68073.3,68535.9,68042.8,68141.4,8905.397
2024-11-03 17:00:00,68141.4,68476.4,68122.0,68345.7,3157.216
2024-11-03 18:00:00,68345.7,68433.7,67644.0,67996.8,6495.222
2024-11-03 19:00:00,67996.8,68699.9,67978.8,68673.3,6364.239
2024-11-03 20:00:00,68673.3,68970.2,68488.8,68952.5,5221.519
2024-11-03 21:00:00,68952.5,69339.7,68945.0,69121.0,6880.436
2024-11-03 22:00:00,69121.0,69280.0,68760.1,68847.5,3047.111
2024-11-03 23:00:00,68847.5,68894.6,68482.8,68743.6,4370.709
2024-11-04 00:00:00,68743.6,68743.6,68200.0,68697.8,4561.46
2024-11-04 01:00:00,68697.8,69025.4,68543.7,68958.8,3714.948
2024-11-04 02:00:00,68958.8,69318.3,68868.4,69289.1,3376.58
2024-11-04 03:00:00,69289.1,69497.0,68983.2,69037.0,3589.764
2024-11-04 04:00:00,69037.0,69385.0,69036.9,69139.8,2410.25
2024-11-04 05:00:00,69139.8,69173.4,68690.5,68810.1,3117.858
2024-11-04 06:00:00,68810.1,69166.0,68810.0,69118.6,2339.133
2024-11-04 07:00:00,69118.6,69168.0,68600.0,68600.3,3273.076
2024-11-04 08:00:00,68600.3,68737.7,68438.3,68681.9,4178.671
2024-11-04 09:00:00,68681.9,68905.2,68461.5,68625.6,3593.093
2024-11-04 10:00:00,68625.6,68898.3,68585.4,68819.9,2114.756
2024-11-04 11:00:00,68819.9,69036.2,68692.0,68779.4,2383.609
2024-11-04 12:00:00,68779.4,69000.0,68720.5,68953.6,1875.981
2024-11-04 13:00:00,68953.6,69246.3,68633.3,68653.0,6435.594
2024-11-04 14:00:00,68653.0,68715.3,68160.5,68379.2,10590.338
2024-11-04 15:00:00,68379.2,68750.0,68212.0,68627.2,6541.226
2024-11-04 16:00:00,68627.2,68826.3,67578.2,67738.8,15677.47
2024-11-04 17:00:00,67738.8,67929.8,67213.2,67825.7,15133.696
2024-11-04 18:00:00,67825.7,68048.0,67487.2,67646.1,6448.229
2024-11-04 19:00:00,67646.1,68079.7,67634.0,67849.6,3415.808
2024-11-04 20:00:00,67849.6,67849.6,67321.0,67356.8,7733.742
2024-11-04 21:00:00,67356.8,67633.0,66808.0,67110.3,18287.828
2024-11-04 22:00:00,67110.3,68107.3,67053.4,67918.8,6696.366
2024-11-04 23:00:00,67918.8,68034.4,67618.9,67838.7,3968.346
2024-11-05 00:00:00,67838.7,68191.1,67772.6,68023.9,3480.174
2024-11-05 01:00:00,68023.9,68090.0,67449.5,67986.3,4712.626
2024-11-05 02:00:00,67986.3,68066.6,67820.0,67870.8,2172.764
2024-11-05 03:00:00,67870.8,68279.8,67870.0,68236.3,1842.389
2024-11-05 04:00:00,68236.3,68514.3,68210.8,68311.9,2837.403
2024-11-05 05:00:00,68311.9,68799.8,68295.5,68737.7,3390.491
2024-11-05 06:00:00,68737.7,68812.6,68567.0,68772.1,2466.265
2024-11-05 07:00:00,68772.1,68990.0,68569.3,68900.0,3481.336
2024-11-05 08:00:00,68900.0,69061.8,68777.6,69038.3,3021.977
2024-11-05 09:00:00,69038.3,69112.0,68724.2,68780.0,3302.003
2024-11-05 10:00:00,68780.0,68857.6,68620.0,68771.5,2727.835
2024-11-05 11:00:00,68771.5,68975.0,68763.2,68810.2,2004.714
2024-11-05 12:00:00,68810.2,68950.8,68665.4,68873.0,2705.958
2024-11-05 13:00:00,68873.0,68909.3,68672.6,68816.7,2598.44
2024-11-05 14:00:00,68816.7,70329.6,68764.3,69945.1,23516.882
2024-11-05 15:00:00,69945.1,70059.7,69210.0,69610.2,15111.191
2024-11-05 16:00:00,69610.2,70540.0,69502.4,70160.4,13083.981
2024-11-05 17:00:00,70160.4,70441.8,69850.0,69918.0,6231.635
2024-11-05 18:00:00,69918.0,70238.3,69693.9,70194.9,4862.758
2024-11-05 19:00:00,70194.9,70244.2,68678.0,68978.9,13495.567
2024-11-05 20:00:00,68978.9,69635.3,68810.7,69420.5,10377.486
2024-11-05 21:00:00,69420.5,69589.2,69040.4,69141.2,4376.442
2024-11-05 22:00:00,69141.2,69573.0,68852.6,69565.1,4752.807
2024-11-05 23:00:00,69565.1,69889.4,69248.1,69345.7,6672.703
2024-11-06 00:00:00,69345.7,71439.0,69256.7,71070.0,23493.523
2024-11-06 01:00:00,71070.0,71394.0,70568.7,71103.7,14911.986
2024-11-06 02:00:00,71103.7,73355.7,70914.8,73107.4,29790.635
2024-11-06 03:00:00,73107.4,75389.0,73074.2,74394.9,48852.004
2024-11-06 04:00:00,74394.9,75055.1,73951.4,74296.7,21147.336
2024-11-06 05:00:00,74296.7,74898.0,73615.3,74807.7,16577.991
2024-11-06 06:00:00,74807.7,75499.8,74231.4,74302.1,23654.633
2024-11-06 07:00:00,74302.1,74716.6,73117.6,73440.8,19698.616
2024-11-06 08:00:00,73440.8,73611.2,72729.6,73494.3,17475.194
2024-11-06 09:00:00,73494.3,74148.4,73494.3,73807.2,8339.598
2024-11-06 10:00:00,73807.2,74000.0,73411.0,73868.1,6428.883
2024-11-06 11:00:00,73868.1,74573.6,73690.4,74315.7,8481.636
2024-11-06 12:00:00,74315.7,74816.4,74200.1,74216.2,7874.299
2024-11-06 13:00:00,74216.2,74322.8,73606.7,74020.1,9789.891
2024-11-06 14:00:00,74020.1,74761.6,73500.0,73670.9,19392.185
2024-11-06 15:00:00,73670.9,74526.0,73538.5,74308.1,14208.659
2024-11-06 16:00:00,74308.1,74599.8,74139.9,74339.7,7834.736
2024-11-06 17:00:00,74339.7,74690.0,74091.9,74477.8,6428.469
2024-11-06 18:00:00,74477.8,75254.9,74425.4,75252.0,9032.382
2024-11-06 19:00:00,75252.0,75964.0,75050.0,75830.8,14190.976
2024-11-06 20:00:00,75830.8,76433.6,75521.1,76110.2,14945.166
2024-11-06 21:00:00,76110.2,76195.8,75665.5,75917.1,6708.565
2024-11-06 22:00:00,75917.1,76064.6,75520.1,75652.0,4479.928
